PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL,quarter,year
NORTH SHORE ESPLANADE,STATEN ISLAND,2.252,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
FOX PLAYGROUND BROOKLYN,BROOKLYN     ,2.25,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
VLEIGH PLAYGROUND,QUEENS       ,2.243,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
LAREDO AVENUE PARCEL,STATEN ISLAND,2.223,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
FREDERICK B. JUDGE PLAYGROUND,QUEENS       ,2.217,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
BELMONT PLAYGROUND BRONX,BRONX        ,2.213,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
MAHONEY PLAYGROUND,STATEN ISLAND,2.21,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
ANCHORAGE PLAZA,BROOKLYN     ,2.2,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
ASTORIA HEIGHTS PLAYGROUND,QUEENS       ,2.2,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
HOYT PLAYGROUND,QUEENS       ,2.2,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
LORETO PLAYGROUND,BRONX        ,2.181,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
HARDING PARK,BRONX        ,2.16,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
WASHINGTON MARKET PARK,MANHATTAN    ,2.15,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
VIDALIA PARK,BRONX        ,2.136,ONE ACRE OR LARGER,0.0,0,0,1,0,0,0,1,1,2023
UNNAMED PARK ON E 122ND STREET,MANHATTAN    ,2.13,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
BRIDGE PARK BROOKLYN,BROOKLYN     ,2.117,ONE ACRE OR LARGER,0.0,0,0,0,0,1,0,1,1,2023
HAMILTON METZ FIELD,BROOKLYN     ,2.112,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
CARDOZO PLAYGROUND,QUEENS       ,2.096,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
CENTREVILLE PLAYGROUND,QUEENS       ,2.095,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
REDFERN PLAYGROUND,QUEENS       ,2.093,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
SHEEPSHEAD PLAYGROUND,BROOKLYN     ,2.087,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
STORY PLAYGROUND,BRONX        ,2.075,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
SAKURA PARK,MANHATTAN    ,2.067,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
LINNAEUS PARK,QUEENS       ,2.066,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
CASTLEWOOD PLAYGROUND,QUEENS       ,2.059,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
SKYLINE PLAYGROUND,STATEN ISLAND,2.057,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
CLOVE'S TAIL,STATEN ISLAND,2.056,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
DANIEL M. O'CONNELL PLAYGROUND,QUEENS       ,2.043,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
CHALLENGE PLAYGROUND,QUEENS       ,2.035,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
TORSNEY PLAYGROUND,QUEENS       ,2.027,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
LOCUST MANOR PLAYGROUND,QUEENS       ,2.003,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
PLAYGROUND ONE THIRTY FOUR CXXXIV,BRONX        ,2.0,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
FULTON PARK,BROOKLYN     ,1.987,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
ANDREW HASWELL GREEN PARK,MANHATTAN    ,1.984,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
MOORE HOMESTEAD PLAYGROUND,QUEENS       ,1.978,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
MCLAUGHLIN PARK,BROOKLYN     ,1.976,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
COLONEL DAVID MARCUS PLAYGROUND,BROOKLYN     ,1.974,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
SUMNER PLAYGROUND,BROOKLYN     ,1.97,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
ROSEMARY'S PLAYGROUND,QUEENS       ,1.967,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
SAUL WEPRIN PLAYGROUND,QUEENS       ,1.964,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
FREDERICK DOUGLASS PLAYGROUND,MANHATTAN    ,1.945,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
UNNAMED PARK ON HEMPSTEAD AVENUE,QUEENS       ,1.94,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
BRIDGE PARK 3,BROOKLYN     ,1.934,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
THE PAINTER'S PLAYGROUND,QUEENS       ,1.932,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
ROBERTO CLEMENTE BALLFIELD,BROOKLYN     ,1.93,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
TERRACE PLAYGROUND,STATEN ISLAND,1.922,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
TRAVERS PARK,QUEENS       ,1.919,ONE ACRE OR LARGER,0.0,0,0,0,0,0,0,0,1,2023
